Pitch,Durations
69,3
206,3
69,3
69,3
69,3
206,3
76,19
69,3
206,3
69,3
69,3
69,3
206,3
47,19
69,3
206,3
69,3
69,3
69,3
206,3
76,19
4,9
177,9
96,9
156,9
69,3
206,3
69,3
69,3
69,3
206,3
76,19
69,3
206,3
69,3
69,3
69,3
206,3
47,19
28,6
12,6
199,6
167,6
138,6
80,6
48,6
23,6
6,6
194,6
6,6
23,6
48,6
80,6
138,6
167,6
69,3
206,3
69,3
69,3
69,3
206,3
5,19
69,3
206,3
69,3
69,3
69,3
206,3
178,19
69,3
206,3
69,3
69,3
69,3
206,3
5,19
4,9
177,9
96,9
156,9
69,3
206,3
69,3
69,3
69,3
206,3
5,19
69,3
206,3
69,3
69,3
69,3
206,3
178,19
69,3
206,3
69,3
69,3
69,3
206,3
5,19
4,9
177,9
96,9
156,9
185,12
192,12
187,9
186,26
160,12
160,12
161,9
114,12
114,12
118,9
118,12
118,12
118,9
118,26
162,12
162,12
161,9
114,12
114,12
118,9
103,8
101,8
94,8
102,32
146,26
157,12
206,6
21,12
206,6
53,8
45,6
206,3
122,6
206,3
54,32
145,26
156,12
206,6
21,12
206,6
185,12
192,12
187,9
186,26
160,12
160,12
161,9
114,12
114,12
118,9
118,12
118,12
118,9
118,26
162,12
162,12
161,9
114,12
114,12
118,9
111,6
109,6
110,6
105,6
92,6
99,6
104,6
93,6
99,6
104,6
107,6
112,6
121,6
112,6
121,6
95,6
100,6
95,6
121,6
112,6
121,6
112,6
107,6
104,6
107,6
112,6
107,6
104,6
93,6
99,6
104,6
93,28
99,6
106,3
92,3
113,3
92,3
113,3
92,3
99,6
106,3
92,3
93,6
206,6
23,6
74,3
206,3
185,3
206,3
185,3
206,3
6,6
74,3
206,3
185,3
206,3
185,3
206,3
23,6
74,3
206,3
185,3
206,3
185,3
206,3
23,6
74,3
206,3
6,6
206,6
194,6
6,6
23,6
58,6
80,6
23,6
58,6
6,6
23,6
58,6
80,6
125,6
199,6
125,6
199,6
12,6
28,6
12,6
199,6
125,6
199,6
125,6
80,6
58,6
80,6
125,6
80,6
58,6
6,6
23,6
58,6
6,28
23,6
74,3
206,3
185,3
206,3
185,3
206,3
23,6
74,3
206,3
6,6
206,6
23,6
74,3
206,3
185,3
206,3
185,3
206,3
6,6
74,3
206,3
185,3
206,3
185,3
206,3
23,6
74,3
206,3
185,3
206,3
185,3
206,3
23,6
74,3
206,3
6,6
206,6
194,6
6,6
23,6
58,6
80,6
23,6
58,6
6,6
23,6
58,6
80,6
125,6
199,6
125,6
199,6
12,6
28,6
12,6
199,6
125,6
199,6
125,6
80,6
58,6
80,6
125,6
80,6
58,6
6,6
23,6
58,6
6,28
23,6
74,3
206,3
185,3
206,3
185,3
206,3
23,6
74,3
206,3
6,6
206,6
