Pitch,Durations
172,26
114,6
114,6
172,28
114,6
114,6
114,15
172,27
114,6
114,6
172,28
114,6
114,6
114,15
172,25
12,3
7,3
7,3
7,3
46,3
7,3
7,3
7,3
59,3
7,3
7,3
7,3
46,3
7,3
7,3
7,3
59,3
7,3
7,3
59,3
46,3
7,3
59,3
7,3
7,3
7,3
59,3
7,3
42,3
7,3
7,3
7,3
59,3
7,3
7,3
7,3
46,3
7,3
7,3
41,3
59,3
41,3
7,3
7,3
46,3
7,3
7,3
7,3
12,3
7,3
7,3
7,3
46,3
7,3
59,3
59,3
21,3
7,3
41,2
116,1
41,3
41,3
41,3
7,3
41,3
12,3
7,3
7,3
7,3
46,3
7,3
7,3
41,3
59,3
41,3
7,3
7,3
46,3
7,3
7,3
7,3
12,3
7,3
7,3
7,3
46,3
7,3
7,3
7,3
59,3
7,3
7,3
7,3
45,3
7,3
8,2
75,1
69,2
64,1
12,3
7,3
7,3
7,3
46,3
7,3
7,3
41,3
59,3
41,3
7,3
7,3
46,3
7,3
7,3
7,3
12,3
7,3
7,3
7,3
46,3
7,3
7,3
7,3
42,3
41,3
41,3
7,3
45,3
41,3
7,3
41,3
12,3
7,3
7,3
7,3
46,3
7,3
7,3
41,3
59,3
41,3
7,3
7,3
46,3
7,3
7,3
7,3
12,3
7,3
7,3
7,3
46,3
7,3
7,3
7,3
59,3
7,3
41,3
7,3
45,3
7,3
8,2
75,1
69,2
64,1
12,3
7,3
7,3
7,3
46,3
7,3
7,3
41,3
59,3
41,3
7,3
7,3
46,3
7,3
7,3
7,3
17,3
1,1
75,2
74,1
7,2
41,3
41,3
41,3
7,3
41,3
2,3
166,1
69,2
64,1
7,2
41,3
41,3
41,3
7,3
41,3
21,6
172,3
7,3
119,6
7,6
13,6
172,3
7,3
119,6
7,6
12,6
172,3
7,3
119,6
7,6
72,3
163,3
6,3
72,3
144,3
163,3
13,3
163,3
42,3
7,3
59,3
59,3
41,3
59,3
59,3
7,3
46,3
7,3
59,3
59,3
41,3
59,3
7,3
59,3
12,3
7,3
7,3
59,3
46,3
7,3
59,3
41,3
59,3
41,3
7,3
59,3
46,3
7,3
59,3
7,3
21,6
172,3
7,3
119,6
7,6
13,6
172,3
7,3
119,6
7,6
12,6
172,3
7,3
119,6
7,6
72,3
163,3
6,3
72,3
144,3
163,3
13,3
163,3
42,3
7,3
59,3
59,3
41,3
59,3
59,3
7,3
46,3
7,3
59,3
59,3
41,3
59,3
7,3
59,3
12,3
7,3
7,3
59,3
46,3
7,3
59,3
41,3
59,3
41,3
7,3
59,3
46,3
7,3
59,3
7,3
21,6
172,3
7,3
119,6
7,6
13,6
172,3
7,3
119,6
7,6
12,6
172,3
7,3
119,6
7,6
72,3
163,3
6,3
72,3
144,3
163,3
13,3
163,3
12,3
74,3
68,3
59,3
41,3
59,3
78,3
64,3
46,3
7,3
78,3
68,3
41,3
78,3
64,3
59,3
76,3
74,3
64,3
68,3
11,3
74,3
68,3
64,3
21,3
74,3
7,3
78,3
68,3
64,3
11,3
7,3
21,6
172,3
7,3
119,6
7,6
13,6
172,3
7,3
119,6
7,6
12,6
172,3
7,3
119,6
7,6
72,3
163,3
6,3
72,3
144,3
163,3
13,3
163,3
42,3
7,3
59,3
59,3
41,3
59,3
59,3
7,3
46,3
7,3
59,3
59,3
41,3
59,3
7,3
59,3
76,3
158,1
64,2
64,1
7,2
59,3
46,3
7,3
59,3
41,3
59,3
7,3
59,3
