Pitch,Durations
185,28
167,6
173,6
174,6
98,6
98,6
98,6
75,6
75,6
147,6
147,26
173,6
173,6
174,6
98,6
98,6
98,6
55,6
54,6
99,6
99,6
75,6
75,21
173,6
173,6
174,6
98,6
98,6
98,6
75,6
75,6
147,6
147,26
173,6
173,6
174,6
98,6
98,6
98,6
55,6
54,6
99,6
99,6
75,6
75,21
173,6
173,6
174,6
98,6
98,6
98,6
75,6
75,6
147,6
147,26
173,6
173,6
174,6
98,6
98,6
98,6
55,6
54,6
99,6
99,6
75,6
75,21
173,6
173,6
174,6
98,6
98,6
98,6
75,6
75,6
147,6
147,26
173,6
173,6
174,6
98,6
98,6
98,6
55,6
54,6
99,6
99,6
75,6
75,21
20,6
3,6
133,6
118,6
91,18
20,6
3,6
133,6
118,21
20,6
3,6
133,6
118,6
65,18
93,6
136,6
136,6
121,6
136,18
20,6
3,6
133,6
118,6
91,18
20,6
3,6
133,6
118,21
20,6
3,6
133,6
118,6
65,18
93,6
136,6
136,6
121,6
157,18
20,6
3,6
133,6
118,6
91,18
20,6
3,6
133,6
118,21
20,6
3,6
133,6
118,6
65,18
93,6
136,6
136,6
121,6
136,18
171,28
66,28
22,6
5,6
175,6
100,6
76,6
56,6
178,6
125,2
178,1
125,3
100,6
26,6
10,6
178,6
125,6
100,6
76,11
171,28
66,28
22,6
5,6
175,6
100,6
76,6
56,6
178,6
125,2
178,1
125,3
100,6
26,6
10,6
178,6
125,6
100,6
76,11
171,28
66,28
61,3
85,1
87,2
116,1
151,1
153,1
183,2
14,1
61,3
85,1
87,2
116,1
151,1
153,1
183,2
14,1
61,3
85,1
87,2
116,1
151,1
153,1
183,2
14,1
61,3
85,1
87,2
116,1
151,1
153,1
183,2
14,1
61,3
85,1
87,2
116,1
151,1
153,1
183,2
14,1
61,3
85,1
87,2
116,1
151,1
153,1
183,2
14,1
28,18
28,4
28,4
28,4
28,4
14,4
14,4
14,4
182,4
102,4
102,4
85,4
85,4
85,4
61,4
61,4
61,4
85,4
85,4
85,18
171,18
92,18
30,18
120,18
167,3
1,3
17,3
1,3
154,11
167,3
1,3
17,3
1,3
69,3
93,3
69,3
50,3
117,3
154,3
1,3
154,3
117,11
117,3
154,3
1,3
154,3
50,3
37,3
50,3
17,3
167,3
1,3
17,3
1,3
154,11
167,3
1,3
17,3
1,3
69,3
93,3
69,3
50,3
117,3
154,3
1,3
154,3
117,11
117,3
154,3
1,3
154,3
50,3
37,3
50,3
17,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
92,11
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
134,11
64,3
64,3
64,3
64,3
119,11
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
92,11
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
134,11
64,3
64,3
64,3
64,3
38,11
167,3
1,3
17,3
1,3
154,11
167,3
1,3
17,3
1,3
69,3
93,3
69,3
50,3
117,3
154,3
1,3
154,3
117,11
117,3
154,3
1,3
154,3
50,3
37,3
50,3
17,3
167,3
1,3
17,3
1,3
154,11
167,3
1,3
17,3
1,3
69,3
93,3
69,3
50,3
117,3
154,3
1,3
154,3
117,11
117,3
154,3
1,3
154,3
50,3
37,3
50,3
17,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
92,11
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
134,11
64,3
64,3
64,3
64,3
119,11
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
92,11
64,3
64,3
64,3
64,3
