Pitch,Durations
57,3
64,3
7,3
7,3
52,3
7,3
7,3
7,3
43,3
116,3
7,3
116,3
7,3
116,1
41,2
116,2
7,1
116,3
7,3
7,3
7,3
7,3
45,3
7,3
7,3
116,3
43,3
116,3
7,3
116,3
7,3
116,1
41,2
116,2
7,1
116,3
7,3
7,3
7,3
7,3
45,3
7,3
7,3
116,3
43,3
116,3
7,3
124,3
59,3
116,1
41,2
116,2
7,1
116,3
79,3
7,3
7,3
7,3
45,3
7,3
7,3
116,3
120,3
120,3
7,3
145,3
74,3
116,3
116,2
64,1
116,3
7,3
7,3
7,3
7,3
45,3
7,3
7,3
116,3
43,3
116,3
7,3
116,3
7,3
116,1
41,2
116,2
7,1
116,3
7,3
7,3
7,3
7,3
45,3
7,3
7,3
116,3
119,3
116,3
7,3
124,3
59,3
116,3
116,2
7,1
116,3
7,3
7,3
7,3
7,3
45,3
7,3
7,3
116,3
43,3
116,3
7,3
124,3
7,3
116,1
41,2
116,2
7,1
116,3
7,3
7,3
7,3
7,3
45,3
7,3
7,3
116,3
119,3
116,3
7,3
124,3
116,3
116,1
116,2
116,3
116,3
12,3
7,3
7,3
7,3
124,6
172,6
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
59,3
7,3
59,3
7,3
122,3
7,3
7,3
7,3
124,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
142,3
7,3
7,3
7,3
59,3
7,3
59,3
7,3
118,3
7,3
7,3
7,3
124,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
124,3
7,3
59,3
7,3
119,3
7,3
7,3
7,3
142,3
7,3
7,3
7,3
12,3
7,3
59,3
7,3
122,6
172,6
124,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
117,3
8,3
8,3
74,3
145,3
74,3
74,3
7,3
45,10
172,10
12,3
7,3
7,3
7,3
122,6
172,6
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
59,3
7,3
59,3
7,3
122,3
7,3
7,3
7,3
124,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
145,3
7,3
7,3
7,3
59,3
7,3
59,3
7,3
118,3
7,3
7,3
7,3
124,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
124,3
7,3
59,3
7,3
119,3
7,3
7,3
7,3
140,3
7,3
7,3
7,3
12,3
7,3
59,3
7,3
122,6
172,6
124,3
7,3
7,3
7,3
119,3
7,3
7,3
7,3
117,3
8,3
8,3
74,3
145,3
74,3
74,3
7,3
45,6
1,3
1,3
74,6
74,6
21,8
119,8
7,3
7,1
7,3
172,2
119,4
172,1
7,4
7,4
7,4
172,1
119,3
43,1
7,3
172,2
7,3
7,1
7,3
172,2
119,4
172,1
7,4
7,4
7,4
172,1
119,3
43,1
7,3
172,2
7,3
7,1
7,3
172,2
119,4
172,1
7,4
7,4
7,4
172,1
119,3
43,1
7,3
172,2
7,3
7,1
7,3
172,2
119,4
172,1
7,4
7,4
7,4
172,1
119,3
43,1
7,3
172,2
7,3
7,1
7,3
172,2
119,4
172,1
7,4
7,4
7,4
172,1
119,3
43,1
7,3
172,2
7,3
7,1
7,3
172,2
119,4
172,1
7,4
118,4
116,4
172,1
93,3
28,1
16,3
172,2
117,3
117,1
116,3
172,2
8,4
172,1
8,4
145,4
74,4
172,1
74,3
74,1
74,3
172,2
140,3
53,1
7,3
172,2
69,4
172,1
7,4
12,8
119,8
7,3
7,1
7,3
172,2
119,4
172,1
7,4
7,4
7,4
172,1
119,3
43,1
7,3
172,2
7,3
7,1
7,3
172,2
