Pitch,Durations
64,3
64,3
64,3
64,3
70,11
142,6
17,3
17,3
17,3
17,3
64,3
64,3
64,3
64,3
64,3
64,3
53,11
95,6
154,3
154,3
154,3
154,3
64,3
64,3
64,3
64,3
64,3
64,3
70,11
142,6
17,3
17,3
17,3
17,3
167,3
167,3
167,3
167,3
167,3
167,3
70,11
95,6
154,3
154,3
154,3
154,3
64,3
64,3
64,3
64,3
64,3
64,3
70,11
40,6
117,3
117,3
117,3
117,3
64,3
64,3
64,3
64,3
64,3
64,3
70,11
142,6
17,3
17,3
17,3
17,3
64,3
64,3
64,3
64,3
64,3
64,3
70,11
40,6
117,3
117,3
117,3
117,3
167,3
167,3
167,3
167,3
167,3
167,3
70,11
95,6
154,3
154,3
154,3
154,3
154,3
154,3
167,3
167,3
167,3
185,3
70,11
167,3
167,3
167,3
185,3
73,11
73,11
70,11
20,11
142,11
167,3
185,3
167,3
185,3
70,11
167,3
167,3
167,3
185,3
73,11
73,11
70,11
20,11
53,11
167,3
167,3
167,3
185,3
70,11
167,3
167,3
167,3
185,3
73,11
73,11
70,11
20,11
142,11
167,3
185,3
167,3
185,3
70,11
167,3
167,3
167,3
185,3
73,11
73,11
70,11
20,11
185,11
167,3
167,3
167,3
185,3
70,11
167,3
167,3
167,3
185,3
73,11
73,11
70,11
20,11
142,11
167,3
185,3
167,3
185,3
70,11
167,3
167,3
167,3
185,3
73,11
73,11
70,11
20,11
53,11
167,3
167,3
167,3
185,3
70,11
167,3
167,3
167,3
185,3
73,11
73,11
70,11
20,11
142,11
167,3
185,3
167,3
185,3
70,11
167,3
167,3
167,3
185,3
73,11
73,11
70,11
20,11
50,11
133,9
64,3
185,6
64,3
64,3
185,3
64,3
185,2
64,3
185,1
64,3
185,1
64,3
185,2
64,3
64,3
185,3
64,3
64,3
185,3
64,3
185,2
64,3
185,1
91,9
64,3
185,6
64,3
64,3
185,3
64,3
185,2
64,3
185,1
17,9
1,9
131,9
50,9
117,3
185,1
117,3
185,2
117,3
117,3
185,3
117,3
117,3
185,3
117,3
185,2
117,3
185,1
117,3
185,1
117,3
185,2
117,3
117,3
185,3
117,3
117,3
185,3
117,3
185,2
117,3
185,1
89,3
185,1
89,3
185,2
89,3
89,3
185,3
89,3
89,3
185,3
89,3
185,2
89,3
185,1
89,3
185,1
89,3
185,2
89,3
89,3
185,3
89,3
89,3
185,3
89,3
185,2
89,3
185,1
133,9
64,3
185,6
64,3
64,3
185,3
64,3
185,2
64,3
185,1
64,3
185,1
64,3
185,2
64,3
64,3
185,3
64,3
64,3
185,3
64,3
185,2
64,3
185,1
91,9
64,3
185,6
64,3
64,3
185,3
64,3
