Pitch,Durations
97,3
88,1
88,2
88,2
88,1
88,3
88,3
88,1
88,2
88,2
88,1
88,3
97,3
88,1
88,2
88,2
88,1
88,3
97,3
88,1
88,2
88,2
88,1
88,3
97,3
88,1
88,2
88,2
88,1
88,3
88,3
88,1
88,2
88,2
88,1
88,3
87,4
156,4
156,4
156,8
144,3
21,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,3
119,3
13,3
43,1
7,2
13,2
7,1
43,3
13,3
43,1
7,2
43,3
43,3
21,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,3
119,3
13,3
43,1
7,2
13,2
7,1
43,3
13,3
43,1
7,2
43,3
43,3
21,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,3
119,3
43,3
13,1
7,2
13,2
7,1
13,3
43,3
13,1
7,2
43,3
43,3
21,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,3
119,3
43,3
13,1
7,2
13,2
7,1
13,3
43,3
13,1
7,2
43,3
43,3
21,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,2
7,1
119,3
13,3
119,3
13,3
119,3
43,3
13,1
7,2
13,2
7,1
13,3
43,3
13,1
7,2
43,3
43,3
21,4
148,4
59,4
124,4
59,4
148,4
59,4
148,4
59,4
124,4
59,4
148,4
59,4
148,4
59,4
124,4
59,4
148,4
59,4
148,4
59,4
116,3
172,1
116,2
116,2
116,1
116,3
21,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
46,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
21,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
46,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
21,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
46,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
21,3
7,1
7,2
7,2
7,1
7,3
7,3
116,5
41,1
7,3
21,4
59,4
59,1
59,3
124,4
59,4
148,4
59,4
148,4
59,4
124,4
59,4
148,4
59,4
148,4
59,4
124,4
59,4
148,4
59,4
148,4
59,4
116,3
172,1
116,2
116,2
116,1
116,3
21,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
46,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
21,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
46,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
21,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
46,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
45,4
7,2
7,1
7,5
45,6
7,2
7,1
7,3
21,4
148,4
59,4
124,4
59,4
148,4
59,4
148,4
59,4
124,4
59,4
148,4
59,4
148,4
59,4
124,4
59,4
148,4
59,4
148,4
59,4
116,3
172,1
116,2
116,2
116,1
116,3
21,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
46,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
21,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
46,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
21,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
46,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
45,4
7,2
7,1
7,5
45,6
7,2
7,1
7,3
21,4
148,4
59,4
124,4
59,4
148,4
59,4
148,4
59,4
124,4
59,4
148,4
59,4
148,4
59,4
124,4
59,4
148,4
59,4
148,4
59,4
116,3
172,1
116,2
116,2
116,1
116,3
21,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
46,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
21,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
46,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
45,3
7,1
59,2
59,1
7,1
59,1
59,2
7,1
12,3
7,1
59,2
59,1
7,1
12,1
12,2
7,1
124,4
124,2
124,1
116,1
124,1
124,3
12,4
59,4
59,4
59,4
148,4
59,4
124,4
59,4
148,4
59,4
148,4
59,4
124,4
59,2
59,1
7,1
59,1
59,2
7,1
59,4
148,4
59,4
124,4
59,4
148,4
59,4
148,4
59,4
124,4
59,2
59,1
7,1
59,1
61,2
71,1
59,4
148,4
59,4
124,4
59,4
148,4
59,4
148,4
59,4
124,4
59,2
59,1
7,1
59,1
59,2
7,1
59,4
148,4
59,4
124,4
59,4
148,4
59,4
