Pitch,Durations
2,5
13,5
26,5
26,5
26,5
26,5
2,5
13,5
11,5
11,5
11,5
11,5
4,5
16,5
24,5
24,5
24,5
24,5
29,5
13,5
3,5
3,5
3,5
3,5
2,5
13,5
26,5
26,5
26,5
26,5
2,5
13,5
11,5
11,5
11,5
11,5
4,5
16,5
24,5
24,5
24,5
24,5
29,5
13,5
3,5
3,5
3,5
3,5
2,5
13,5
26,5
26,5
26,5
26,5
2,5
13,5
11,5
11,5
11,5
11,5
4,5
16,5
24,5
24,5
24,5
24,5
29,5
13,5
3,5
3,5
3,5
3,5
2,5
13,5
26,5
26,5
26,5
26,5
2,5
13,5
11,5
11,5
11,5
11,5
4,5
16,5
24,5
24,5
24,5
24,5
29,5
13,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
29,5
23,5
19,5
13,5
2,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,5
23,5
3,5
4,5
2,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
29,5
23,5
19,5
13,5
6,8
3,5
23,5
3,5
4,11
26,5
13,5
26,5
29,11
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
29,5
23,5
19,5
13,5
2,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
3,5
23,5
3,5
4,5
2,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
29,5
23,5
19,5
13,5
6,8
3,5
23,5
3,5
4,11
26,5
13,5
26,5
29,11
25,5
24,5
29,5
26,5
25,5
24,5
17,5
16,5
4,5
3,5
25,5
24,5
29,5
26,5
25,5
24,5
16,5
24,5
3,5
23,5
25,5
24,5
29,5
26,5
25,5
24,5
17,5
16,5
4,5
3,5
25,5
24,5
29,5
26,5
25,5
24,5
16,5
24,5
3,5
23,5
6,5
30,5
26,5
30,5
24,5
30,11
3,5
30,5
6,5
30,5
26,5
30,5
24,5
30,11
3,5
30,5
6,5
30,5
26,5
30,5
24,5
30,11
3,5
30,5
6,5
30,5
26,5
30,5
24,5
30,11
3,5
23,5
11,8
11,18
20,8
20,18
6,8
6,18
24,8
24,18
16,8
16,18
13,8
13,18
6,8
6,18
7,8
7,18
6,8
6,18
16,8
16,18
13,8
13,18
6,8
6,18
7,8
7,18
6,8
6,18
16,8
16,18
13,8
13,18
6,8
6,18
7,8
7,18
6,8
6,18
16,8
16,18
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
18,5
22,5
11,3
11,3
