Pitch,Durations
5,6
69,6
167,3
185,3
167,3
185,3
167,3
185,3
167,3
185,3
5,6
69,3
185,3
64,3
185,3
64,3
185,3
64,3
185,3
64,3
185,3
22,6
93,6
154,3
185,3
154,3
185,3
154,3
185,3
154,3
185,3
175,6
69,6
17,3
185,3
17,3
185,3
17,3
185,3
17,3
185,3
5,6
69,6
167,3
185,3
167,3
185,3
167,3
185,3
167,3
185,3
5,6
69,6
64,3
185,3
64,3
185,3
64,3
185,3
64,3
185,3
22,6
93,6
154,3
185,3
154,3
185,3
154,3
185,3
154,3
185,3
175,6
69,6
17,3
185,3
17,3
185,3
17,3
185,3
17,3
185,3
5,6
69,6
167,3
185,3
167,3
185,3
167,3
185,3
167,3
185,3
5,6
69,6
64,3
185,3
64,3
185,3
64,3
185,3
64,3
185,3
22,6
93,6
154,3
185,3
154,3
185,3
154,3
185,3
154,3
185,3
175,6
69,6
17,3
185,3
17,3
185,3
17,3
185,3
17,3
185,3
5,6
69,6
167,3
185,3
167,3
185,3
167,3
185,3
167,3
185,3
5,6
69,6
64,3
185,3
64,3
185,3
64,3
185,3
64,3
185,3
22,6
93,6
154,3
185,3
154,3
185,3
154,3
185,3
154,3
185,3
175,6
69,6
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
175,6
136,6
108,6
69,6
5,11
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
17,6
136,6
17,6
22,6
5,3
22,1
7,2
137,1
136,5
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
175,6
136,6
108,6
69,6
37,11
17,6
136,6
17,6
22,14
167,6
69,6
167,6
175,14
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
175,6
136,6
108,6
69,6
5,11
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
17,6
136,6
17,6
22,6
5,3
22,1
7,2
137,1
136,5
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
64,3
