Pitch,Durations
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
4,3
4,3
2,3
29,3
23,3
19,3
13,3
13,3
11,5
11,5
11,5
11,5
30,5
11,5
11,5
11,5
30,5
11,5
11,5
11,5
30,5
11,5
11,5
11,5
11,5
11,5
11,5
11,5
30,5
11,5
11,5
11,5
9,5
9,5
9,5
9,5
30,5
9,5
9,5
9,5
15,5
15,5
15,5
15,5
30,5
15,5
15,5
15,5
3,5
3,5
3,5
3,5
30,5
3,5
3,5
3,5
11,5
11,5
11,5
11,5
30,5
11,5
11,5
11,5
9,5
9,5
9,5
9,5
30,5
9,5
9,5
9,5
15,5
15,5
15,5
11,11
15,5
15,5
15,5
11,8
3,5
1,5
20,5
22,8
15,5
15,3
15,3
15,3
15,3
11,11
15,5
15,3
15,3
15,3
15,3
11,8
3,5
1,5
22,5
