Pitch,Durations
102,3
101,3
89,3
89,3
108,3
108,3
88,3
88,3
101,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
102,3
101,3
89,3
89,3
108,3
108,3
88,3
88,3
101,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
102,3
101,3
89,3
89,3
108,3
108,3
88,3
88,3
101,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
102,3
101,3
89,3
89,3
108,3
108,3
88,3
88,3
101,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
102,3
101,3
89,3
89,3
108,3
108,3
88,3
88,3
101,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
102,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
101,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
102,3
101,3
89,3
89,3
108,3
108,3
88,3
88,3
101,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
102,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
101,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
102,3
101,3
89,3
89,3
108,3
108,3
88,3
88,3
101,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
102,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
101,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
102,3
101,3
89,3
89,3
108,3
108,3
88,3
88,3
101,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
102,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
101,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
102,3
101,3
89,3
89,3
108,3
108,3
88,3
88,3
101,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
102,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
101,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
102,3
101,3
89,3
89,3
112,3
108,3
95,3
88,3
101,3
88,3
89,3
89,3
108,3
108,3
88,3
88,3
90,6
106,6
155,6
106,6
156,6
106,6
155,6
106,6
156,6
106,6
155,6
156,6
156,3
149,3
106,3
88,3
150,6
88,6
106,6
106,6
155,6
106,6
156,3
88,3
106,3
88,3
150,3
88,3
106,6
106,6
106,6
155,6
106,6
156,3
88,3
106,3
88,3
150,3
88,3
106,6
106,6
106,6
155,6
106,6
156,3
88,3
106,3
88,3
150,3
88,3
106,6
106,6
106,6
155,6
106,6
156,3
88,3
106,3
88,3
150,3
88,3
106,6
106,6
106,6
155,6
106,6
156,3
88,3
106,3
88,3
150,3
88,3
106,6
106,6
106,6
155,6
106,6
156,3
88,3
106,3
88,3
150,3
88,3
106,6
106,6
106,6
155,6
106,6
156,6
106,6
155,6
106,6
156,6
106,6
155,6
106,6
106,6
106,2
106,1
88,2
88,1
150,6
106,6
106,6
106,2
106,1
88,2
88,1
155,6
106,6
156,6
106,2
106,1
88,2
88,1
155,6
106,6
156,6
106,6
155,6
106,6
106,6
106,2
106,1
88,2
88,1
150,6
106,6
106,6
106,6
155,6
106,6
156,6
106,6
155,6
106,6
156,6
106,6
155,6
106,6
106,6
106,2
106,1
88,2
88,1
150,6
106,6
150,6
88,2
100,1
100,2
88,1
148,3
88,3
102,3
88,3
100,3
88,3
100,3
88,3
102,3
88,3
100,3
88,3
100,3
88,3
102,3
88,3
100,3
88,3
100,3
88,3
100,6
88,2
88,1
88,2
88,1
150,6
88,6
106,6
106,6
155,6
106,6
156,6
106,6
155,6
106,6
156,6
106,6
155,6
106,6
106,6
106,2
106,1
88,2
88,1
150,6
106,6
106,6
106,2
106,1
88,2
88,1
155,6
106,6
156,6
106,2
106,1
88,2
88,1
155,6
106,6
156,6
106,6
155,6
106,6
106,6
106,2
106,1
88,2
88,1
150,6
106,6
106,6
106,6
155,6
106,6
156,6
106,6
155,6
106,6
156,6
106,6
155,6
106,6
106,6
106,2
106,1
88,2
88,1
150,6
106,6
102,3
88,3
100,3
88,3
100,3
88,3
102,3
88,3
100,3
88,3
100,3
88,3
102,3
88,3
100,3
88,3
100,3
88,3
102,3
88,3
100,3
88,3
100,3
88,3
100,6
88,2
88,1
88,2
88,1
150,6
88,6
106,6
106,6
155,6
106,6
156,3
88,3
156,3
88,3
155,6
106,6
106,6
106,6
155,6
106,6
156,3
88,3
156,3
88,3
155,6
106,6
106,6
106,6
155,6
106,6
156,3
88,3
156,3
88,3
155,6
106,6
106,6
