Pitch,Durations
206,43
75,26
123,26
165,26
123,26
75,26
123,26
56,26
75,26
123,26
75,26
56,26
75,37
79,26
56,26
123,26
21,26
75,26
56,26
96,3
206,3
96,3
206,3
96,3
206,3
70,12
96,3
206,3
96,3
206,3
96,3
206,3
70,9
18,6
1,6
144,6
154,9
96,3
206,3
92,3
92,3
92,3
92,3
70,12
96,3
206,3
92,3
92,3
92,3
92,3
70,9
18,3
206,3
1,3
206,3
154,3
206,3
144,9
96,3
206,3
96,3
206,3
96,3
206,3
70,12
96,3
206,3
96,3
206,3
96,3
206,3
70,9
18,6
1,6
144,6
154,9
92,3
92,3
92,3
92,3
92,3
92,3
70,12
92,3
92,3
92,3
92,3
92,3
92,3
70,9
18,3
206,3
1,3
206,3
154,3
206,3
144,9
96,3
206,3
96,3
206,3
96,3
206,3
70,12
96,3
206,3
96,3
206,3
96,3
206,3
70,9
18,6
1,6
144,6
154,9
96,3
206,3
92,3
92,3
92,3
92,3
70,12
96,3
206,3
92,3
92,3
92,3
92,3
70,9
18,3
206,3
1,3
206,3
154,3
206,3
144,9
96,3
206,3
96,3
206,3
96,3
206,3
70,12
96,3
206,3
96,3
206,3
96,3
206,3
70,9
18,6
1,6
144,6
154,9
92,3
92,3
92,3
92,3
92,3
92,3
70,12
92,3
92,3
92,3
92,3
92,3
92,3
70,9
18,3
206,3
1,3
206,3
154,3
206,3
144,9
70,43
96,43
131,3
131,3
131,3
131,3
131,3
131,3
34,3
34,3
34,3
34,3
34,3
34,3
53,3
53,3
53,3
53,3
154,3
154,3
154,3
154,3
154,3
154,3
34,3
34,3
34,3
34,3
34,3
34,3
154,3
154,3
154,3
154,3
131,3
131,3
131,3
131,3
131,3
131,3
34,3
34,3
34,3
34,3
34,3
34,3
53,3
53,3
53,3
53,3
154,3
154,3
154,3
154,3
154,3
154,3
34,3
34,3
34,3
34,3
34,3
34,3
156,6
206,6
131,3
131,3
131,3
131,3
131,3
131,3
34,3
34,3
34,3
34,3
34,3
34,3
53,3
53,3
53,3
53,3
154,3
154,3
154,3
154,3
154,3
154,3
34,3
34,3
34,3
34,3
34,3
34,3
154,3
154,3
154,3
154,3
131,3
131,3
131,3
131,3
131,3
131,3
34,3
34,3
34,3
34,3
34,3
34,3
53,3
53,3
53,3
53,3
155,12
55,12
35,9
131,3
131,3
131,3
131,3
131,3
131,3
34,3
34,3
34,3
34,3
34,3
34,3
53,3
53,3
53,3
53,3
154,3
154,3
154,3
154,3
154,3
154,3
34,3
34,3
34,3
34,3
34,3
34,3
154,3
154,3
154,3
154,3
131,3
131,3
131,3
131,3
131,3
131,3
34,3
34,3
34,3
34,3
34,3
34,3
53,3
53,3
53,3
53,3
154,3
154,3
154,3
154,3
154,3
154,3
34,3
34,3
34,3
34,3
34,3
34,3
154,3
154,3
154,3
154,3
131,3
131,3
131,3
131,3
131,3
131,3
34,3
34,3
34,3
34,3
34,3
34,3
53,3
53,3
53,3
53,3
154,3
154,3
154,3
154,3
154,3
154,3
34,3
34,3
34,3
34,3
34,3
34,3
154,3
154,3
154,3
154,3
131,3
131,3
131,3
131,3
131,3
131,3
34,3
34,3
34,3
34,3
34,3
34,3
53,3
53,3
53,3
53,3
155,12
55,12
35,9
194,6
185,3
185,3
185,3
185,3
23,6
185,3
185,3
185,3
185,3
185,3
185,3
185,3
185,3
6,6
185,3
185,3
185,3
185,3
58,6
185,3
185,3
23,6
185,3
185,3
6,6
194,6
185,3
185,3
185,3
185,3
23,15
125,9
80,6
23,6
6,6
194,6
149,6
74,9
194,6
185,3
185,3
185,3
185,3
23,6
185,3
185,3
185,3
185,3
185,3
185,3
185,3
185,3
6,6
185,3
185,3
185,3
185,3
58,6
185,3
185,3
23,6
185,3
185,3
6,6
194,6
185,3
185,3
185,3
185,3
23,15
125,9
80,6
23,6
6,6
194,6
149,6
74,9
70,15
69,3
206,3
69,3
206,3
75,15
123,21
70,9
69,3
206,3
69,3
