Pitch,Durations
13,5
30,17
13,5
30,17
13,5
30,17
22,5
9,5
22,5
15,5
3,5
15,5
13,5
30,17
13,5
30,17
13,5
30,17
22,5
9,5
22,5
15,5
3,5
15,5
13,5
11,5
11,5
16,11
13,5
11,5
11,5
11,5
16,8
13,5
11,5
11,5
16,11
22,5
9,5
22,5
15,5
3,5
15,5
13,5
11,5
11,5
16,11
13,5
11,5
11,5
11,5
16,8
13,5
11,5
11,5
16,11
22,5
9,5
22,5
15,5
3,5
15,5
13,5
11,5
11,5
16,11
13,5
11,5
11,5
11,5
16,8
13,5
11,5
11,5
16,11
22,5
9,5
22,5
15,5
3,5
15,5
13,5
11,5
11,5
16,11
13,5
11,5
11,5
11,5
16,8
13,5
11,5
11,5
16,11
22,5
9,5
22,5
15,5
3,5
15,5
13,5
11,5
11,5
16,11
13,5
11,5
11,5
11,5
16,8
13,5
11,5
11,5
16,11
22,5
9,5
22,5
15,5
3,5
15,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
19,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
29,5
23,5
19,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
19,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
19,5
23,5
19,5
13,5
3,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
19,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
29,5
23,5
19,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
19,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
19,5
23,5
19,5
13,5
3,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
19,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
29,5
23,5
19,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
19,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
19,5
23,5
19,5
13,5
3,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
19,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
29,5
23,5
19,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
19,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
19,5
23,5
19,5
13,5
3,8
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
19,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
29,5
23,5
19,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
19,5
23,5
11,3
11,3
11,3
11,3
11,3
11,3
11,3
11,3
19,5
23,5
