Pitch,Durations
73,6
69,6
69,6
122,12
73,6
69,6
69,6
69,6
122,9
73,6
69,6
69,6
122,12
154,6
53,6
154,6
92,6
18,6
92,6
71,33
75,21
28,6
12,6
167,6
138,6
80,6
48,6
6,33
73,6
69,6
69,6
122,12
154,6
53,6
154,6
92,6
18,6
92,6
73,6
69,6
69,6
122,12
73,6
69,6
69,6
69,6
122,9
73,6
69,6
69,6
122,12
154,6
53,6
154,6
92,6
18,6
92,6
73,6
69,6
69,6
122,12
73,6
69,6
69,6
69,6
122,9
73,6
69,6
69,6
122,12
154,6
53,6
154,6
92,6
18,6
92,6
73,6
69,6
69,6
122,12
73,6
69,6
69,6
69,6
122,9
73,6
69,6
69,6
122,12
154,6
53,6
154,6
92,6
18,6
92,6
73,6
69,6
69,6
122,12
73,6
69,6
69,6
69,6
122,9
73,6
69,6
69,6
122,12
154,6
53,6
154,6
92,6
18,6
92,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
194,6
163,6
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
135,6
74,6
18,9
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
194,6
163,6
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
135,6
74,6
18,9
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
194,6
163,6
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
135,6
74,6
18,9
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
194,6
163,6
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
135,6
74,6
18,9
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
194,6
163,6
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
135,6
74,6
18,9
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
194,6
163,6
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
69,3
69,3
69,3
69,3
69,3
69,3
69,3
69,3
135,6
163,6
135,6
74,6
18,9
145,21
194,9
149,9
74,21
185,3
185,3
