Pitch,Durations
172,20
7,2
7,1
7,3
122,15
6,10
6,10
6,10
6,10
6,10
6,7
7,1
7,3
41,3
172,8
6,10
6,10
6,10
116,3
116,3
116,3
116,3
8,3
8,3
8,3
8,3
74,3
74,3
74,3
74,3
64,3
64,3
64,3
64,3
64,19
158,4
158,2
158,2
64,1
64,3
41,18
53,3
7,8
53,3
7,19
6,10
75,4
75,4
172,4
75,3
166,1
69,4
172,4
69,4
69,4
172,4
64,4
64,4
172,4
122,15
7,7
7,1
7,3
7,6
7,6
122,18
41,3
7,10
122,14
7,3
7,6
7,6
7,6
7,6
122,15
7,3
7,3
7,6
7,6
7,6
122,15
6,13
7,6
3,4
7,4
172,4
7,4
167,4
172,4
159,4
7,4
172,4
7,4
161,7
122,14
7,3
7,4
7,4
172,4
7,4
7,4
172,4
122,10
6,10
1,3
166,3
158,3
7,3
122,10
6,10
13,6
13,6
119,6
6,6
13,6
13,6
6,6
6,3
7,3
13,6
13,6
119,6
13,3
7,3
119,6
119,6
21,10
13,6
13,6
119,6
6,6
119,10
70,3
55,3
41,6
116,3
116,3
64,3
64,3
70,3
70,3
7,6
116,6
116,6
21,8
7,3
13,6
13,6
119,6
6,6
13,6
13,6
6,6
6,3
7,3
13,6
13,6
119,6
13,3
7,3
119,6
119,6
21,10
13,6
13,6
119,6
6,6
119,10
70,6
116,3
116,6
70,3
70,3
70,3
70,6
116,3
116,3
116,3
116,3
70,3
70,3
21,10
13,6
13,6
119,6
6,6
13,6
13,6
6,6
6,3
7,3
13,6
13,6
119,6
13,3
7,3
119,6
119,6
21,10
13,6
13,6
119,6
6,3
116,3
116,10
70,4
116,2
116,3
116,3
116,6
116,3
116,3
70,3
116,3
116,3
7,3
118,6
116,6
21,10
13,6
13,6
119,6
6,6
13,6
13,6
6,6
6,3
7,3
13,6
13,6
119,6
13,3
7,3
119,6
119,6
12,10
13,6
13,6
145,4
7,4
145,4
64,10
70,4
70,4
172,4
122,10
70,4
70,4
172,4
122,10
70,4
70,4
172,4
118,10
55,4
70,4
172,4
79,4
70,4
172,4
70,4
70,4
172,4
122,10
70,4
70,4
172,4
122,10
70,4
70,4
172,4
118,10
55,4
70,4
172,4
79,4
70,4
172,4
70,4
70,4
172,4
122,10
70,4
70,4
172,4
122,10
70,4
70,4
172,4
118,10
55,4
70,4
172,4
79,4
70,4
172,4
70,4
70,4
172,4
122,10
70,4
70,4
172,4
122,10
70,4
70,4
172,4
118,10
55,4
70,4
172,4
79,4
70,4
172,4
70,4
79,4
172,4
118,10
70,4
70,4
172,4
118,10
70,4
70,4
172,4
118,10
55,4
70,4
172,4
79,4
70,4
172,4
70,4
79,4
172,4
118,10
70,4
70,4
172,4
118,10
70,4
70,4
172,4
118,10
55,4
70,4
172,4
79,4
70,4
172,4
70,4
79,4
172,4
118,10
70,4
70,4
172,4
118,10
70,4
70,4
172,4
118,10
55,4
70,4
172,4
79,4
70,4
172,4
70,4
79,4
172,4
118,10
70,4
70,4
172,4
118,6
81,2
81,4
1,4
166,4
172,1
116,3
116,10
6,10
6,10
6,10
6,10
6,10
6,7
116,1
116,3
116,3
116,1
116,2
116,2
116,1
116,3
116,3
116,1
116,2
116,2
116,4
21,4
7,2
20,2
20,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
20,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
20,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
20,1
7,3
44,4
7,2
20,2
20,1
7,3
45,4
7,2
20,2
20,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
20,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
20,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
20,1
7,3
44,4
7,2
20,2
20,1
7,3
21,4
7,2
20,2
70,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
70,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
70,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
70,1
7,3
44,4
7,2
20,2
20,1
7,3
21,4
7,2
20,2
70,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
70,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
70,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
70,1
7,3
44,4
7,2
20,2
20,1
7,3
45,4
7,2
20,2
70,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
70,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
70,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
70,1
7,3
44,4
7,2
20,2
20,1
7,3
45,4
7,2
20,2
70,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
70,1
7,3
44,4
7,2
20,2
20,1
7,3
20,4
7,2
20,2
70,1
7,3
45,4
7,2
75,2
7,1
7,3
65,4
7,2
69,2
7,1
41,3
116,29
122,10
53,3
7,3
7,3
7,3
53,3
7,3
7,3
7,3
69,3
7,3
7,3
7,3
21,3
7,3
7,3
7,3
7,3
7,3
7,3
7,3
53,3
7,3
7,3
7,3
69,3
7,3
7,3
7,3
21,3
7,3
7,3
7,3
53,3
7,3
7,3
7,3
53,3
7,3
7,3
7,3
69,3
7,3
7,3
7,3
21,7
7,1
7,3
7,4
116,2
41,3
41,3
7,3
7,3
7,3
7,3
41,3
7,3
7,3
7,3
122,6
116,6
21,6
121,6
13,3
7,3
119,6
13,6
119,6
13,3
7,3
119,6
13,6
119,6
13,3
7,3
119,6
13,6
119,6
13,3
7,3
119,6
20,6
136,6
7,6
116,6
7,6
116,6
20,6
136,6
7,6
136,6
7,6
116,6
20,6
136,6
7,6
136,6
13,6
119,6
13,3
7,3
119,6
13,6
119,6
13,3
7,3
119,6
13,6
119,6
13,3
7,3
119,6
13,6
119,6
13,3
7,3
119,6
20,6
136,6
7,6
116,6
7,6
116,6
20,6
136,6
7,6
136,6
7,6
116,6
20,6
136,6
7,6
136,6
13,6
119,6
13,3
7,3
119,6
13,6
119,6
13,3
7,3
119,6
13,6
119,6
13,3
7,3
119,6
13,6
119,6
13,3
7,3
119,6
20,6
136,6
7,6
116,6
7,6
116,6
20,6
136,6
7,6
136,6
7,6
116,6
20,6
136,6
7,6
136,6
13,6
119,6
13,3
7,3
119,6
13,6
119,6
13,3
7,3
119,6
13,6
119,6
13,3
7,3
119,6
13,6
119,6
13,3
7,3
119,6
21,6
7,2
7,1
7,3
122,6
7,6
85,6
7,2
7,1
7,3
122,6
7,2
7,1
7,3
21,6
7,2
7,1
7,3
122,6
7,6
85,6
7,2
7,1
7,3
122,6
7,2
7,1
7,3
21,6
7,2
7,1
7,3
122,6
7,6
85,6
7,2
7,1
7,3
122,6
7,2
7,1
7,3
21,6
7,2
7,1
7,3
45,4
7,2
7,2
7,1
41,3
41,4
7,2
70,2
20,1
7,3
41,4
7,2
13,6
21,6
7,2
7,1
7,3
122,6
7,6
85,6
7,2
7,1
7,3
122,6
7,2
7,1
7,3
21,6
7,2
7,1
7,3
122,6
7,6
85,6
7,2
7,1
7,3
122,6
7,2
7,1
7,3
21,6
7,2
7,1
7,3
122,6
7,6
85,6
7,2
7,1
7,3
122,6
7,2
7,1
41,3
41,4
7,2
7,2
7,1
41,3
41,4
7,2
7,2
7,1
41,3
41,4
7,2
21,2
7,1
7,3
79,4
7,2
41,6
21,6
7,2
7,1
7,3
122,6
7,6
85,6
7,2
7,1
7,3
122,6
7,2
7,1
7,3
21,6
7,2
7,1
7,3
122,6
7,6
85,6
7,2
7,1
7,3
122,6
7,2
7,1
7,3
21,6
7,2
7,1
7,3
122,6
7,6
85,6
7,2
7,1
7,3
122,6
7,2
7,1
7,3
21,6
7,2
7,1
7,3
45,6
7,2
7,1
7,3
116,4
116,2
41,2
8,1
8,3
74,4
74,2
64,2
64,1
64,3
21,6
7,2
7,1
7,3
122,6
7,6
85,6
7,2
7,1
7,3
122,6
7,2
7,1
7,3
21,6
7,2
7,1
7,3
122,6
7,6
85,6
7,2
7,1
7,3
122,6
7,2
7,1
7,3
21,6
7,2
7,1
7,3
122,6
7,6
85,6
7,2
7,1
7,3
122,6
7,2
7,1
7,3
21,6
7,2
7,1
7,3
122,6
16,2
16,1
16,3
8,4
74,2
74,2
64,1
41,3
116,10
164,4
163,4
163,4
6,10
148,4
148,4
148,4
148,10
164,4
163,4
163,4
