Pitch,Durations
21,6
63,6
139,6
156,6
13,10
156,6
156,6
13,10
156,6
13,10
116,6
13,6
162,6
63,6
13,6
139,6
156,6
13,10
156,6
156,6
13,10
156,6
13,10
116,6
13,6
162,6
63,6
13,6
139,6
156,6
13,10
156,6
156,6
13,10
156,6
13,10
147,6
13,6
162,6
63,6
13,6
139,6
156,6
13,10
156,6
156,6
13,10
156,6
13,10
147,6
13,6
162,6
63,6
13,6
139,6
156,6
13,10
156,6
156,6
13,10
156,6
13,10
147,6
13,6
162,6
63,6
13,6
139,6
156,6
13,10
156,6
156,6
13,10
156,6
13,10
147,6
13,6
162,6
63,6
13,6
139,6
156,6
13,10
156,6
156,6
13,10
156,6
13,10
147,6
13,6
162,6
63,6
13,6
139,6
156,6
13,10
156,6
156,6
13,10
156,6
13,10
147,6
13,6
162,6
63,6
13,6
139,6
156,6
13,10
156,6
156,6
13,10
156,6
13,10
147,6
13,6
162,6
63,6
13,6
139,6
156,6
13,10
156,6
156,6
13,10
156,6
13,10
139,6
79,6
6,6
21,10
162,6
116,6
162,10
70,6
84,6
70,6
84,6
162,6
118,6
116,15
21,10
162,6
116,6
162,10
70,6
84,6
70,6
84,6
162,10
116,6
119,6
156,6
119,3
156,3
21,10
162,6
116,6
162,10
70,6
84,6
70,6
84,6
162,6
118,6
116,10
114,3
114,1
83,2
81,1
81,1
3,1
1,2
1,1
21,10
162,6
116,6
162,10
70,6
84,6
70,6
84,6
162,6
118,6
116,15
121,6
20,6
121,6
20,6
162,6
162,6
116,6
171,6
63,6
13,6
172,6
169,6
168,6
167,6
162,6
7,6
121,6
20,6
121,6
20,6
162,6
162,6
116,6
171,6
63,6
13,6
172,6
169,6
168,6
167,6
162,6
7,6
121,6
20,6
121,6
20,6
162,6
162,6
116,6
171,6
63,6
13,6
172,6
169,6
168,6
167,6
162,6
7,6
121,6
20,6
121,6
20,6
162,6
162,6
116,6
171,6
63,6
13,6
172,6
169,6
168,6
167,6
162,6
7,2
16,1
3,2
1,1
121,6
20,6
121,6
20,6
162,6
162,6
116,6
171,6
63,6
13,6
172,6
169,6
168,6
167,6
162,6
7,6
121,6
20,6
121,6
20,6
162,6
162,6
116,6
171,6
63,6
13,6
172,6
169,6
168,6
167,6
162,6
7,3
7,3
121,6
20,6
121,6
20,6
162,6
162,6
116,6
171,6
63,6
13,6
172,6
169,6
168,6
167,6
162,6
7,6
121,6
20,6
121,6
20,6
162,6
162,6
116,6
171,6
63,6
13,6
172,6
169,6
168,6
167,6
162,6
7,6
12,13
7,6
119,6
7,6
21,10
6,6
7,6
79,10
118,10
6,6
116,3
116,3
13,6
156,6
156,6
13,6
139,6
156,6
13,6
156,6
156,6
13,6
139,6
156,6
119,10
21,3
7,3
7,3
7,3
12,10
6,6
7,6
119,6
7,2
7,1
7,2
7,1
12,10
6,6
7,6
119,6
7,6
119,6
7,6
7,3
7,1
7,2
7,1
7,2
116,3
21,6
156,6
156,6
13,6
139,6
156,6
13,6
156,6
156,6
13,6
139,6
156,6
119,10
21,3
7,3
7,3
7,3
12,10
21,3
7,3
7,3
7,3
45,3
7,3
7,3
7,3
21,10
21,3
7,3
7,3
7,3
45,3
7,3
7,3
7,3
21,6
7,2
7,1
7,2
7,1
21,3
7,1
7,2
7,1
7,2
7,3
13,6
156,6
156,6
13,6
139,6
156,6
13,6
156,6
156,6
13,6
139,6
156,6
119,6
162,6
7,3
116,3
116,3
7,3
12,10
6,6
7,6
119,6
7,2
7,1
7,2
7,1
12,10
6,6
7,6
119,6
7,6
119,6
7,6
7,3
7,1
7,2
7,1
7,2
116,3
21,6
156,6
156,6
13,6
