Pitch,Durations
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,6
34,6
69,6
4,6
12,6
34,6
12,6
4,6
69,3
4,3
69,3
4,3
69,3
4,3
69,3
4,3
69,3
4,3
69,8
73,9
27,9
63,3
63,3
63,3
63,3
67,3
63,3
63,3
63,3
59,3
63,3
63,3
63,3
67,3
63,3
27,3
37,3
63,3
63,3
63,3
63,3
67,3
63,3
63,3
63,3
59,3
63,3
63,3
63,3
67,3
63,3
27,3
37,3
63,3
63,3
63,3
63,3
67,3
63,3
63,3
63,3
59,3
63,3
63,3
63,3
67,3
63,3
27,3
37,3
63,3
63,3
63,3
63,3
67,3
63,3
63,3
63,3
59,3
63,3
63,3
63,3
67,3
63,3
27,3
37,3
63,3
63,3
63,3
63,3
67,3
63,3
63,3
63,3
59,3
63,3
63,3
63,3
67,3
63,3
27,3
37,3
63,3
63,3
63,3
63,3
67,3
63,3
63,3
63,3
59,3
63,3
63,3
63,3
67,3
63,3
27,3
37,3
63,3
63,3
63,3
63,3
67,3
63,3
63,3
63,3
59,3
63,3
63,3
63,3
67,3
63,3
27,3
37,3
63,3
63,3
63,3
63,3
67,3
63,3
63,3
63,3
59,3
63,3
63,3
63,3
67,3
63,3
27,3
37,3
17,9
27,9
37,7
52,6
37,6
27,9
17,9
27,9
37,7
52,6
37,6
27,6
17,6
7,6
2,6
63,3
63,3
63,3
63,3
67,3
63,3
63,3
63,3
59,3
63,3
63,3
63,3
67,3
63,3
27,3
37,3
63,3
63,3
63,3
63,3
67,3
63,3
63,3
63,3
59,3
63,3
63,3
63,3
67,3
63,3
27,3
37,3
63,3
63,3
63,3
63,3
67,3
63,3
63,3
63,3
59,3
