Pitch,Durations
11,4
26,4
11,4
86,4
3,4
3,4
3,4
11,4
26,4
11,4
86,4
3,4
3,4
3,4
11,4
26,4
11,4
86,4
3,4
3,4
3,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
3,7
11,7
26,7
11,4
86,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
3,7
11,7
26,7
11,4
86,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
3,7
11,7
26,7
11,4
86,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
65,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
3,7
11,7
26,7
11,4
86,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
3,7
11,7
26,7
11,4
86,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
3,7
11,7
26,7
11,4
86,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
2,7
66,7
49,7
31,7
2,7
66,7
49,7
31,7
2,7
66,7
49,7
31,7
2,7
66,7
49,7
31,7
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
3,7
11,7
26,7
11,4
86,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
3,7
11,7
26,7
11,4
86,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
3,7
11,7
26,7
11,4
86,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
45,4
0,2
0,2
37,4
10,4
84,18
66,18
41,18
31,18
84,18
66,18
41,18
31,18
84,18
25,11
37,11
45,7
70,4
45,4
37,11
25,11
37,11
45,7
70,4
45,4
37,4
25,4
10,4
2,4
82,2
82,2
82,2
82,2
89,2
82,2
82,2
82,2
79,2
82,2
82,2
82,2
89,2
82,2
37,2
45,2
82,2
82,2
82,2
82,2
89,2
82,2
82,2
82,2
79,2
82,2
82,2
82,2
89,2
82,2
37,2
45,2
82,2
82,2
82,2
82,2
89,2
82,2
82,2
82,2
79,2
82,2
82,2
82,2
89,2
82,2
37,2
45,2
82,2
82,2
82,2
82,2
89,2
82,2
82,2
82,2
79,2
82,2
82,2
82,2
89,2
82,2
37,2
45,2
25,11
37,11
45,7
70,4
45,4
37,11
25,11
37,11
45,7
70,4
45,4
37,4
25,4
10,4
2,4
82,2
82,2
82,2
82,2
89,2
82,2
82,2
82,2
79,2
82,2
82,2
82,2
89,2
82,2
37,2
45,2
82,2
82,2
82,2
82,2
89,2
82,2
82,2
82,2
79,2
82,2
82,2
82,2
89,2
82,2
37,2
45,2
82,2
82,2
82,2
82,2
89,2
82,2
82,2
82,2
79,2
82,2
82,2
82,2
89,2
82,2
37,2
45,2
82,2
82,2
82,2
82,2
89,2
82,2
82,2
82,2
79,2
82,2
82,2
82,2
89,2
82,2
37,2
66,15
49,15
10,15
2,15
66,15
