Pitch,Durations
73,13
8,6
18,6
8,6
65,6
3,6
73,8
3,6
73,8
3,6
73,8
8,6
18,6
8,6
65,6
3,6
73,8
3,6
73,8
3,6
73,8
8,6
18,6
8,6
65,6
3,6
73,10
3,6
73,10
3,6
73,10
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
37,6
1,3
1,3
27,6
7,6
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
37,6
1,3
1,3
27,6
7,6
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
37,6
1,3
1,3
27,6
7,6
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
37,6
1,3
1,3
27,6
7,6
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
37,6
1,3
1,3
27,6
7,6
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
37,6
1,3
1,3
27,6
7,6
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
37,6
1,3
1,3
27,6
7,6
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
37,6
1,3
1,3
27,6
7,6
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
37,6
1,3
1,3
27,6
7,6
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
49,3
49,3
49,3
49,3
49,3
49,3
49,3
49,3
43,3
43,3
43,3
43,3
43,3
43,3
43,3
43,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
49,3
49,3
49,3
49,3
49,3
49,3
49,3
49,3
43,3
43,3
43,3
43,3
43,3
43,3
43,3
43,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
49,3
49,3
49,3
49,3
49,3
49,3
49,3
49,3
43,3
43,3
43,3
43,3
43,3
43,3
43,3
43,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
49,3
49,3
49,3
49,3
49,3
49,3
49,3
49,3
43,3
43,3
43,3
43,3
43,3
43,3
43,3
43,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
49,3
49,3
49,3
49,3
49,3
49,3
49,3
49,3
43,3
43,3
43,3
43,3
43,3
43,3
43,3
43,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
24,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
49,3
49,3
49,3
49,3
49,3
49,3
49,3
49,3
43,3
43,3
43,3
